question,predicted_marks
Explain how process synchronization works in operating systems.,8
Explain how process synchronization works in operating systems.,8
What is the role of caching in operating systems?,7
What is the role of caching in operating systems?,7
"What are the different types of operating systems (e.g., batch, time-sharing)?",6
"What are the different types of operating systems (e.g., batch, time-sharing)?",6
Explain the concept of thrashing in virtual memory systems.,5
Describe the role of the kernel in an operating system.,5
Explain the difference between user mode and kernel mode.,4
"What is virtual memory, and how does it work?",4
