question,predicted_marks
What is the role of statistical analysis in Big Data?,8
How does data security play a role in ensuring compliance with regulations in Big Data?,8
Discuss the various data analysis techniques used in Big Data.,7
How do machine learning algorithms apply to Big Data?,7
Discuss the role of artificial intelligence in Big Data.,6
What is MapReduce and how is it used in Big Data processing?,6
Explain the importance of data literacy in the context of Big Data.,5
Explain the concept of data cleaning and its importance.,5
What are some of the advanced tools used for Big Data visualization?,4
What is the significance of data visualization in Big Data analytics?,4
